Concrete,Portland cement,Portland cement that conforms to ASTM C150 (USA) and/or CSA A3001 (Canada); includes a range of subtypes,922,1 t,Industry,FALSE,PCA. (2021). Environmental product declaration - Portland cement.,3,2300,kg/m3
Concrete,Blended hydraulic cement,"Per ASTM C219 and specified in ASTM C595, ASTM C1157, AASHTO M 240, or CSA A3001; includes a range of blended cement subtypes",742,1 t,Industry,FALSE,PCA. (2021). Environmental product declaration - Blended hydraulic cement.,3,2300,kg/m3
Concrete,Portland-limestone cement,Conforms to ASTM C595 Type IL (USA) or Type GUL (Canada); limestone content is >5% and ≤15% by mass,846,1 t,Industry,FALSE,PCA. (2021). Environmental product declaration -  Portland-limestone cement. ,3,2300,kg/m3
Concrete,Masonry Cement,Per ASTM C219 and specified in ASTM C91 or CSA A3002; includes multiple subtypes,589,1 t,Industry,FALSE,PCA. (2021). Environmental product declaration - Masonry cement .,3,2300,kg/m3
Masonry,"CMU - Eastern Canada, lightweight",Lightweight CMU produced in Eastern Canada,170,1 m3,Industry,FALSE,"CCMPA. (2022). Environmental product declaration - Normal weight and lightweight concrete block masonry units. Average of  Canada East, Lightweight CMU: 176.54 kg CO2e. GU SCM, 164.16 kg CO2e. GUL SCM",3,2000,kg/m3
Masonry,"CMU - Eastern Canada, normal weight",Normal weight CMU produced in Eastern Canada,200,1 m3,Industry,FALSE,"CCMPA. (2022). Environmental product declaration - Normal weight and lightweight concrete block masonry units. Average of Canada East, Normal weight CMU: 205.38 kg CO2e. GU SCM, 190.58 kg CO2e. GUL SCM  ",3,2000,kg/m3
Masonry,"CMU - Western Canada, lightweight",Lightweight CMU produced in Western Canada,210,1 m3,Industry,FALSE,"CCMPA. (2022). Environmental product declaration - Normal weight and lightweight concrete block masonry units. Average of Canada West, Lightweight CMU: 213.94 kg CO2e. GU SCM, 197.93 kg CO2e. GUL SCM",3,2000,kg/m3
Masonry,"CMU - Western Canada, normal weight",Normal weight CMU produced in Western Canada,240,1 m3,Industry,FALSE,"CCMPA. (2022). Environmental product declaration - Normal weight and lightweight concrete block masonry units. Average of Canada West, Normal weight CMU: 251.64 kg CO2e. GU SCM, 232.28 kg CO2e. GUL SCM",3,2000,kg/m3
Steel,Rebar - unfabricated,"Unfabricated steel reinforcement bar, including plain carbon steel and low-alloy steel bars of multiple grades and sizes ",753,1 t,Industry,FALSE,CRSI. (2022). Environmental product declaration - Steel reinforcement bar.  Converted to unfabricated product GWP. See appendix for details.,3,7850,kg/m3
Steel,Rebar - fabricated,"Fabricated steel reinforcement bar, including plain carbon steel and low-alloy steel bars of multiple grades and sizes ",854,1 t,Industry,FALSE,CRSI. (2022). Environmental product declaration - Steel reinforcement bar.,3,7850,kg/m3
Steel,Hot-rolled sections - unfabricated,"Unfabricated hot-rolled steel shapes for structural applications, including: wide flange and other beams, channels, angles, and tees ",1000,1 t,Industry,FALSE,AISC. (2021). Environmental product declaration - Fabricated hot-rolled sections.  Converted to unfabricated product GWP. See appendix for details.,3,7850,kg/m3
Steel,Hot-rolled sections - fabricated,"Fabricated hot-rolled steel shapes for structural applications, including: wide flange and other beams, channels, angles, and tees",1220,1 t,Industry,FALSE,AISC. (2021). Environmental product declaration - Fabricated hot-rolled sections. ,3,7850,kg/m3
Steel,Plate steel - unfabricated,Unfabricated flat steel products (generally thicker than 6 mm or ¼” ) for structural applications,1480,1 t,Industry,FALSE,AISC. (2021). Environmental product declaration - Fabricated steel plate. Converted to unfabricated product GWP. See appendix for details.,3,7850,kg/m3
Steel,Plate steel - fabricated,Fabricated flat steel products (generally thicker than 6 mm or ¼” ) for structural applications,1730,1 t,Industry,FALSE,AISC. (2021). Environmental product declaration - Fabricated steel plate. ,3,7850,kg/m3
Steel,Hollow structural sections (HSS) - unfabricated,"Unfabricated hollow steel sections (square, rectangle, circle) for structural applications",1710,1 t,Industry,FALSE,STI. (2021). Environmental product declaration - Hollow structural sections. ,3,7850,kg/m3
Steel,Hollow structural sections (HSS) - fabricated,"Fabricated hollow steel sections (square, rectangle, circle) for structural applications",1990,1 t,Industry,FALSE,AISC. (2021). Environmental product declaration - Fabricated hollow structural sections. ,3,7850,kg/m3
Steel,Cold-formed steel framing,"Galvanized cold-formed steel shapes for light framing, such as studs and track",2440,1 t,Industry,FALSE,SFIA. (2021). Cold-formed steel framing. ,3,7850,kg/m3
Steel,Open-web steel joists,Prefabricated steel joists and girders with open middle web and top and bottom chords,1430,1 t,Industry,FALSE,SJI. (2022). Environmental product declaration - Open web steel joists and joist girders. ,3,7850,kg/m3
Steel,Steel decking ,Includes range of surface treatments (galvanized or uncoated steel to which paint may be applied) and thickness/gauge.,2320,1 t,Industry,FALSE,SDI. (2022). Environmental product declaration - Steel roof and floor deck.,3,7850,kg/m3
Aluminum,Aluminum extrusions - mill finish,Standard (non-thermally-improved) extrusions with mill finish (no additional surface treatment),10250,1 t,Industry,TRUE,"AEC. (2022). Environmental product declaration - Aluminum extrusions - mill finished, painted, and anodized.",3,2700,kg/m3
Aluminum,Aluminum extrusions - painted,Standard (non-thermally-improved) extrusions with paint finish,11670,1 t,Industry,TRUE,"AEC. (2022). Environmental product declaration - Aluminum extrusions - mill finished, painted, and anodized.",3,2700,kg/m3
Aluminum,Aluminum extrusions - anodized,Standard (non-thermally-improved) extrusions with anodized finish,10760,1 t,Industry,TRUE,"AEC. (2022). Environmental product declaration - Aluminum extrusions - mill finished, painted, and anodized.",3,2700,kg/m3
Aluminum,Thermally-improved aluminum extrusions,painted or anodized,12250,1 t,Industry,FALSE,"North American IW-EPD thermally improved aluminum extrusions. Average (mean, rounded to four significant digits) of: Painted (12,700 kg CO2e / t) and Anodized (11,800 kg CO2e / t) (AEC 2022)",3,2700,kg/m3
Aluminum,Thermally-improved aluminum extrusions - painted,"Thermally-improved extrusions for exterior envelope assemblies (e.g., curtain wall, storefront, etc.) with paint finish",12700,1 t,Industry,TRUE,AEC. (2022). Environmental product declaration - Thermally improved aluminum extrusions - painted and anodized.,3,2700,kg/m3
Aluminum,Thermally-improved aluminum extrusions - anodized,"Thermally-improved extrusions for exterior envelope assemblies (e.g., curtain wall, storefront, etc.) with anodized finish",11800,1 t,Industry,TRUE,AEC. (2022). Environmental product declaration - Thermally improved aluminum extrusions - painted and anodized.,3,2700,kg/m3
Wood and Composites,Wood framing,"Dimensional softwood framing lumber; generally excludes decking lumber (e.g., redwood)",63.12,1 m3,Industry,FALSE,AWC. (2020). Environmental product declaration - North American softwood lumber.,3,,
Wood and Composites,Laminated Veneer Lumber (LVL),"Includes LVL of different sizes, structural capacity, and structural applications",361.45,1 m3,Industry,FALSE,AWC. (2020). Environmental product declaration - North American laminated veneer lumber.,3,,
Wood and Composites,Laminated Strand Lumber (LSL),"Includes LSL of different sizes, structural capacity, and structural applications",274.9,1 m3,Industry,FALSE,AWC. (2021). Environmental product declaration - North American laminated strand lumber.,3,,
Wood and Composites,Glue laminated timber (GLT),"Includes GLT products of different shapes, sizes, and configurations",137.19,1 m3,Industry,FALSE,AWC. (2020). Environmental product declaration - North American glue laminated timber.,3,,
Wood and Composites,Softwood plywood,Includes all thicknesses of softwood plywood,219.32,1 m3,Industry,FALSE,AWC. (2020). Environmental product declaration - North American softwood plywood.,3,,
Wood and Composites,Oriented Strand Board (OSB),Includes all thicknesses of oriented strand board,242.58,1 m3,Industry,FALSE,AWC. (2020). Environmental product declaration - North American oriented strand board.,3,,
Wood and Composites,"Glass-mat gypsum board: 1/2"" (12.7 mm)","Non-combustible gypsum core with glass-mat surface on each side, 1/2"" regular board",437.4,1000 ft2,Industry,FALSE,GA. (2021). An industry-wide cradle-to-gate EPD for 1/2” and 5/8” glass-mat gypsum boards.,2,,
Wood and Composites,"Glass-mat gypsum board: 5/8"" (15.9 mm)","Non-combustible, water-resistant gypsum core with glass-mat surface on each side, 5/8"" type X board",503.9,1000 ft2,Industry,FALSE,GA. (2021). An industry-wide cradle-to-gate EPD for 1/2” and 5/8” glass-mat gypsum boards.,2,,
