Category,Type,Name,A no biogen,A biogen,ABC no biogen,ABC biogen,ABCD no biogen,ABCD biogen,Unit,Description,Notes
Wall,Metal,Baffle,4.527,4.5,12.37,12.32,5.76,5.7,1 sf,"Linear sheet-formed aluminum baffle, steel support system, steel cable","Service life set to 50 year and some materials adjusted to match. Metal baffles are 1 1/4"" wide x 3 1/4"" deep and spaced 2 3/4"" apart."
Wall,Metal,Panel,2.772,2.81,7.57,7.66,3.53,3.61,1 sf,"Powder-coated aluminum panel, steel suspension grid, steel cable, steel fasteners",Service life 50 year Tally default and some materials adjusted to match.
Wall,Metal,Perforated Panel,2.418,2.4,6.63,6.6,3.05,3.03,1 sf,"Powder-coated 13.6% open perforated aluminum panel, steel suspension grid, steel cable, steel fasteners",Service life 50 year Tally default and some materials adjusted to match. 13.6% open metal perforation.
Wall,Hard Ceiling,Gypsum,1.367,1.36,4.3,4.29,2.01,2,1 sf,"5/8"" gypsum wall board, cold-formed steel framing and furring channel, steel cable","Service life 30 year Tally default and some materials adjusted to match; interior paint set to default of 7 years. Gypsum board inclusive of taping compounds, topping compounds, and joint compounds."
Wall,Hard Ceiling,Moisture Resistant Gypsum,1.313,1.31,4.18,4.19,1.9,1.91,1 sf,"5/8"" moisture resistant gypsum wall board, cold-formed steel framing and furring channel, steel cable","Service life 30 year Tally default and some materials adjusted to match; interior paint set to default of 7 years. Gypsum board inclusive of taping compounds, topping compounds, and joint compounds. Board type is moisture and mold resistant."
Wall,Cloud,Fiberglass (w/ Trim),1.869,1.77,4.9,4.71,2.62,2.43,1 sf,"Free-hanging cloud, 5/8"" fiberglass acoustical wall panel with aluminum trim, steel suspension grid, steel cable","Service life 50 year Tally default and some materials adjusted to match. Wall tile is pre-finished. 2"" extruded aluminum trim. Ratio of trim to wall tile area is 1 linear foot:1 square foot. Suspended grid is offset 6"" from edge of tile."
Wall,Cloud,Fiberglass,1.385,1.27,2.91,2.68,2.69,2.45,1 sf,"Free-hanging cloud, 7/8"" fiberglass acoustical wall panel, steel suspension grid, steel cable","Service life 50 year Tally default and some materials adjusted to match. Wall tile is pre-finished. Suspended grid is offset 6"" from edge of tile."
Wall,Lay-In Tile,Fiberglass,1.134,1.05,2.47,2.29,2.12,1.94,1 sf,"5/8"" fiberglass acoustical wall panel, steel suspension grid, steel cable",Service life 50 year Tally default and some materials adjusted to match. Wall tile is pre-finished.
Wall,Lay-In Tile,Mineral Board,0.93,0.91,2.08,2.05,1.73,1.7,1 sf,"5/8"" mineral fiber acoustical wall panel, steel suspension grid, steel cable",Service life 50 year Tally default and some materials adjusted to match. Wall tile is pre-finished.
Wall,Open Ceiling,Acoustical Spray,0.121,0.12,0.13,0.13,0.13,0.13,1 sf,"1"" thick spray-applied cellulose-based acoustical insulation on building structure, (EPD specific)","Structure being sprayed is assumed to be flat surface. Service life of material is 75 years. 1"" thick coat of acoustical spray. Data from product-specific EPD: K-13 Spray-On System, Date of issue: October 16, 2020."
Wall,Open Ceiling,Paint,0.044,0.05,0.4,0.41,0.4,0.41,1 sf,Interior acrylic latex paint coating on building structure,Structure being painted is assumed to be flat surface. Service life 7 year Tally default.
Wall,Wood,Dense Grille (Veneer),2.89,0.09,8.28,4.02,6.7,4.02,1 sf,"Tightly-spaced 2 1/4"" D linear wood veneer on MDF substrate grille, hardwood backer, steel suspension system, steel cable","Service life 50 year Tally default and some materials adjusted to match. Adhesive is polyurethane; specify bio-based glue for embodied carbon reduction. Dense wood grilles are 5/8"" wide x 2 1/4"" deep and spaced 7/8"" apart. End of life based on assumption that 63.5% of wood sent to landfill. Tally data source based on 2014 Municipal Solid Waste and Construction Demolition Wood Waste Generation and Recovery in the United States report by Dovetail Partners, Inc."
Wall,Wood,Grille (Veneer),2.743,-0.3,8.18,3.58,6.5,3.58,1 sf,"3 1/4"" D linear wood veneer on MDF substrate grille, hardwood backer and dowel, steel suspension system, steel cable","Service life 50 year Tally default and some materials adjusted to match. Adhesive is polyurethane; specify bio-based glue for embodied carbon reduction. Wood grilles are 1 1/4"" wide x 3 1/4"" deep and spaced 2 3/4"" apart. End of life based on assumption that 63.5% of wood sent to landfill. Tally data source based on 2014 Municipal Solid Waste and Construction Demolition Wood Waste Generation and Recovery in the United States report by Dovetail Partners, Inc."
Wall,Wood,Dense Grille (Poplar),1.18,-0.61,4.02,1.04,2.88,1.02,1 sf,"Tightly-spaced 2 1/4"" D linear hardwood poplar wood grille, hardwood backer, steel suspension system, steel cable","Service life 50 year Tally default and some materials adjusted to match. Dense wood grilles are 5/8"" wide x 2 1/4"" deep and spaced 7/8"" apart. End of life based on assumption that 63.5% of wood sent to landfill. Tally data source based on 2014 Municipal Solid Waste and Construction Demolition Wood Waste Generation and Recovery in the United States report by Dovetail Partners, Inc."
Wall,Wood,Grille (Poplar),1.225,-0.72,4.24,1.01,3.03,1.01,1 sf,"3 1/4"" D linear hardwood poplar wood grille, hardwood backer and dowel, steel suspension system, steel cable","Service life 50 year Tally default and some materials adjusted to match. Wood grilles are 1 1/4"" wide x 3 1/4"" deep and spaced 2 3/4"" apart. End of life based on assumption that 63.5% of wood sent to landfill. Tally data source based on 2014 Municipal Solid Waste and Construction Demolition Wood Waste Generation and Recovery in the United States report by Dovetail Partners, Inc."
Wall,Wood,Dense Grille (Walnut),1.517,-0.88,5.19,1.31,3.8,1.31,1 sf,"Tightly-spaced 2 1/4"" D linear hardwood walnut wood grille, hardwood backer, steel suspension system, steel cable","Service life 50 year Tally default and some materials adjusted to match. Dense wood grilles are 5/8"" wide x 2 1/4"" deep and spaced 7/8"" apart. End of life based on assumption that 63.5% of wood sent to landfill. Tally data source based on 2014 Municipal Solid Waste and Construction Demolition Wood Waste Generation and Recovery in the United States report by Dovetail Partners, Inc."
Wall,Wood,Grille (Walnut),1.588,-1.01,5.5,1.32,4.03,1.32,1 sf,"3 1/4"" D linear hardwood walnut wood grille, hardwood backer and dowel, steel suspension system, steel cable","Service life 50 year Tally default and some materials adjusted to match. Wood grilles are 1 1/4"" wide x 3 1/4"" deep and spaced 2 3/4"" apart. End of life based on assumption that 63.5% of wood sent to landfill. Tally data source based on 2014 Municipal Solid Waste and Construction Demolition Wood Waste Generation and Recovery in the United States report by Dovetail Partners, Inc."
Wall,Wood,Dense Grille (Maple),1.41,-1.34,5.32,0.92,3.78,0.92,1 sf,"Tightly-spaced 2 1/4"" D linear hardwood maple wood grille, hardwood backer, steel suspension system, steel cable","Service life 50 year Tally default and some materials adjusted to match. Dense wood grilles are 5/8"" wide x 2 1/4"" deep and spaced 7/8"" apart. End of life based on assumption that 63.5% of wood sent to landfill. Tally data source based on 2014 Municipal Solid Waste and Construction Demolition Wood Waste Generation and Recovery in the United States report by Dovetail Partners, Inc."
Wall,Wood,Grille (Maple),1.472,-1.51,5.59,0.85,3.96,0.85,1 sf,"3 1/4"" D linear hardwood maple wood grille, hardwood backer and dowel, steel suspension system, steel cable","Service life 50 year Tally default and some materials adjusted to match. Wood grilles are 1 1/4"" wide x 3 1/4"" deep and spaced 2 3/4"" apart. End of life based on assumption that 63.5% of wood sent to landfill. Tally data source based on 2014 Municipal Solid Waste and Construction Demolition Wood Waste Generation and Recovery in the United States report by Dovetail Partners, Inc."
Ceiling,Metal,Baffle,4.527,4.5,12.37,12.32,5.76,5.7,1 sf,"Linear sheet-formed aluminum baffle, steel support system, steel cable","Service life set to 50 year and some materials adjusted to match. Metal baffles are 1 1/4"" wide x 3 1/4"" deep and spaced 2 3/4"" apart."
Ceiling,Metal,Panel,2.772,2.81,7.57,7.66,3.53,3.61,1 sf,"Powder-coated aluminum panel, steel suspension grid, steel cable, steel fasteners",Service life 50 year Tally default and some materials adjusted to match.
Ceiling,Metal,Perforated Panel,2.418,2.4,6.63,6.6,3.05,3.03,1 sf,"Powder-coated 13.6% open perforated aluminum panel, steel suspension grid, steel cable, steel fasteners",Service life 50 year Tally default and some materials adjusted to match. 13.6% open metal perforation.
Ceiling,Hard Ceiling,Gypsum,1.367,1.36,4.3,4.29,2.01,2,1 sf,"5/8"" gypsum wall board, cold-formed steel framing and furring channel, steel cable","Service life 30 year Tally default and some materials adjusted to match; interior paint set to default of 7 years. Gypsum board inclusive of taping compounds, topping compounds, and joint compounds."
Ceiling,Hard Ceiling,Moisture Resistant Gypsum,1.313,1.31,4.18,4.19,1.9,1.91,1 sf,"5/8"" moisture resistant gypsum wall board, cold-formed steel framing and furring channel, steel cable","Service life 30 year Tally default and some materials adjusted to match; interior paint set to default of 7 years. Gypsum board inclusive of taping compounds, topping compounds, and joint compounds. Board type is moisture and mold resistant."
